max_spout,spliters,counters,$<latency
1.0,1,1,2.5786
1.0,1,3,2.5385
1.0,1,6,2.5477
1.0,1,9,2.5699
1.0,1,12,2.6341
1.0,1,15,2.585
1.0,1,18,2.6116
1.0,2,1,2.6345
1.0,2,3,2.4483
1.0,2,6,2.4584
1.0,2,9,2.4867
1.0,2,12,2.4514
1.0,2,15,2.5676
1.0,2,18,2.4561
1.0,3,1,2.2345
1.0,3,3,2.2434
1.0,3,6,2.274
1.0,3,9,2.2873
1.0,3,12,2.2376
1.0,3,15,2.263
1.0,3,18,2.2561
1.0,6,1,2.3172
1.0,6,3,2.1844
1.0,6,6,2.1994
1.0,6,9,2.2659
1.0,6,12,2.2965
1.0,6,15,2.2694
1.0,6,18,2.2763
10.0,1,1,15.267000000000001
10.0,1,3,9.0425
10.0,1,6,8.4104
10.0,1,9,8.5116
10.0,1,12,8.4711
10.0,1,15,8.2902
10.0,1,18,8.6734
10.0,2,1,16.932000000000002
10.0,2,3,7.9557
10.0,2,6,6.2931
10.0,2,9,5.6942
10.0,2,12,5.9139
10.0,2,15,5.822
10.0,2,18,5.704
10.0,3,1,19.849
10.0,3,3,8.641
10.0,3,6,6.7821
10.0,3,9,6.8006
10.0,3,12,7.0763
10.0,3,15,6.9694
10.0,3,18,6.515
10.0,6,1,13.874
10.0,6,3,6.6913
10.0,6,6,5.4324
10.0,6,9,5.274
10.0,6,12,5.8555
10.0,6,15,5.2717
10.0,6,18,5.2977
100.0,1,1,142.45
100.0,1,3,66.278
100.0,1,6,62.246
100.0,1,9,62.512
100.0,1,12,57.635
100.0,1,15,62.345
100.0,1,18,51.00899999999999
100.0,2,1,137.63
100.0,2,3,60.38
100.0,2,6,52.464
100.0,2,9,46.646
100.0,2,12,39.596
100.0,2,15,36.861
100.0,2,18,38.097
100.0,3,1,131.92
100.0,3,3,61.224
100.0,3,6,55.608999999999995
100.0,3,9,51.501999999999995
100.0,3,12,58.286
100.0,3,15,57.099
100.0,3,18,59.478
100.0,6,1,123.03
100.0,6,3,47.348
100.0,6,6,46.838
100.0,6,9,41.581
100.0,6,12,35.825
100.0,6,15,42.093
100.0,6,18,35.91
1000.0,1,1,1310.1
1000.0,1,3,547.77
1000.0,1,6,540.98
1000.0,1,9,551.17
1000.0,1,12,494.29
1000.0,1,15,560.98
1000.0,1,18,465.92
1000.0,2,1,1269.1
1000.0,2,3,522.18
1000.0,2,6,399.13
1000.0,2,9,357.24
1000.0,2,12,348.49
1000.0,2,15,330.13
1000.0,2,18,334.44
1000.0,3,1,1305.9
1000.0,3,3,579.29
1000.0,3,6,555.68
1000.0,3,9,537.34
1000.0,3,12,523.63
1000.0,3,15,602.72
1000.0,3,18,501.84
1000.0,6,1,1299.1
1000.0,6,3,512.14
1000.0,6,6,343.85
1000.0,6,9,345.38
1000.0,6,12,419.31
1000.0,6,15,277.74
1000.0,6,18,372.5
10000.0,1,1,12596.0
10000.0,1,3,6876.6
10000.0,1,6,5990.6
10000.0,1,9,6255.3
10000.0,1,12,5861.8
10000.0,1,15,6260.9
10000.0,1,18,5709.0
10000.0,2,1,14710.0
10000.0,2,3,4735.0
10000.0,2,6,3923.0
10000.0,2,9,3751.1
10000.0,2,12,3379.6
10000.0,2,15,3523.8
10000.0,2,18,3380.6
10000.0,3,1,13166.0
10000.0,3,3,1943.9
10000.0,3,6,2153.4
10000.0,3,9,1781.6
10000.0,3,12,1760.2
10000.0,3,15,1717.1
10000.0,3,18,1792.1
10000.0,6,1,11121.0
10000.0,6,3,2194.6
10000.0,6,6,1266.6
10000.0,6,9,1220.9
10000.0,6,12,856.94
10000.0,6,15,809.05
10000.0,6,18,828.89
100000.0,1,1,74603.0
100000.0,1,3,57080.0
100000.0,1,6,51016.0
100000.0,1,9,49528.0
100000.0,1,12,49666.0
100000.0,1,15,45807.0
100000.0,1,18,46405.0
100000.0,2,1,83712.0
100000.0,2,3,37378.0
100000.0,2,6,36587.0
100000.0,2,9,34206.0
100000.0,2,12,34751.0
100000.0,2,15,33300.0
100000.0,2,18,28518.0
100000.0,3,1,64176.0
100000.0,3,3,1781.5
100000.0,3,6,2010.2
100000.0,3,9,1595.8
100000.0,3,12,1568.1
100000.0,3,15,1556.2
100000.0,3,18,1829.9
100000.0,6,1,61107.0
100000.0,6,3,2276.2
100000.0,6,6,869.0
100000.0,6,9,1057.5
100000.0,6,12,953.19
100000.0,6,15,985.57
100000.0,6,18,865.83
1000000.0,1,1,93904.0
1000000.0,1,3,77076.0
1000000.0,1,6,79764.0
1000000.0,1,9,85576.0
1000000.0,1,12,84330.0
1000000.0,1,15,83368.0
1000000.0,1,18,83169.0
1000000.0,2,1,70293.0
1000000.0,2,3,90593.0
1000000.0,2,6,82576.0
1000000.0,2,9,52488.0
1000000.0,2,12,73693.0
1000000.0,2,15,71418.0
1000000.0,2,18,76115.0
1000000.0,3,1,78749.0
1000000.0,3,3,2023.7
1000000.0,3,6,1747.9
1000000.0,3,9,1953.2
1000000.0,3,12,1818.2
1000000.0,3,15,1784.3
1000000.0,3,18,1692.8
1000000.0,6,1,46551.0
1000000.0,6,3,1979.7
1000000.0,6,6,1028.0
1000000.0,6,9,911.97
1000000.0,6,12,855.8
1000000.0,6,15,812.2
1000000.0,6,18,1019.7
